Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Control_1 Spectral Count	Control_2 Spectral Count	Control_3 Spectral Count	Control_4 Spectral Count	Control_5 Spectral Count	Tratamiento_1 Spectral Count	Tratamiento_2 Spectral Count	Tratamiento_3 Spectral Count	Tratamiento_4 Spectral Count	Tratamiento_5 Spectral Count	Control_1 Unique Spectral Count	Control_2 Unique Spectral Count	Control_3 Unique Spectral Count	Control_4 Unique Spectral Count	Control_5 Unique Spectral Count	Tratamiento_1 Unique Spectral Count	Tratamiento_2 Unique Spectral Count	Tratamiento_3 Unique Spectral Count	Tratamiento_4 Unique Spectral Count	Tratamiento_5 Unique Spectral Count	Control_1 Total Spectral Count	Control_2 Total Spectral Count	Control_3 Total Spectral Count	Control_4 Total Spectral Count	Control_5 Total Spectral Count	Tratamiento_1 Total Spectral Count	Tratamiento_2 Total Spectral Count	Tratamiento_3 Total Spectral Count	Tratamiento_4 Total Spectral Count	Tratamiento_5 Total Spectral Count	Control_1 Intensity	Control_2 Intensity	Control_3 Intensity	Control_4 Intensity	Control_5 Intensity	Tratamiento_1 Intensity	Tratamiento_2 Intensity	Tratamiento_3 Intensity	Tratamiento_4 Intensity	Tratamiento_5 Intensity	Control_1 MaxLFQ Intensity	Control_2 MaxLFQ Intensity	Control_3 MaxLFQ Intensity	Control_4 MaxLFQ Intensity	Control_5 MaxLFQ Intensity	Tratamiento_1 MaxLFQ Intensity	Tratamiento_2 MaxLFQ Intensity	Tratamiento_3 MaxLFQ Intensity	Tratamiento_4 MaxLFQ Intensity	Tratamiento_5 MaxLFQ Intensity	Indistinguishable Proteins
sp|Q13085|ACACA_HUMAN	Q13085	ACACA_HUMAN	ACACA	2346	Homo sapiens	1:Experimental evidence at protein level	Acetyl-CoA carboxylase 1	1.0	0.999	24	130	124	130	14	18	13	11	16	12	13	9	12	12	13	15	13	11	16	12	13	9	11	11	14	18	13	11	16	12	13	9	12	12	324153.44	383424.34	320774.75	320570.03	393810.56	238652.06	314626.94	258613.97	291413.84	302825.16	46910.58	52674.914	50029.363	46923.93	52655.297	40327.62	41352.77	41469.723	48211.137	48902.047	
sp|Q13094|LCP2_HUMAN	Q13094	LCP2_HUMAN	LCP2	533	Homo sapiens	1:Experimental evidence at protein level	Lymphocyte cytosolic protein 2	0.9636	0.992	2	2	2	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	18694.688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q13098|CSN1_HUMAN	Q13098	CSN1_HUMAN	GPS1	491	Homo sapiens	1:Experimental evidence at protein level	COP9 signalosome complex subunit 1	1.0	0.999	10	116	116	116	11	10	11	12	13	13	14	11	10	11	11	10	11	12	13	13	14	11	10	11	11	10	11	12	13	13	14	11	10	11	384672.03	286377.6	316253.7	344565.4	341774.34	318316.2	350290.78	349060.94	275225.78	278841.4	90163.32	73891.984	84305.63	87784.08	82363.055	89017.79	91784.08	88620.05	81538.74	75447.766	
sp|Q13107|UBP4_HUMAN	Q13107	UBP4_HUMAN	USP4	963	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin carboxyl-terminal hydrolase 4	1.0	0.999	9	39	28	39	4	5	3	4	5	2	4	4	4	4	3	4	2	3	4	1	3	2	3	3	4	5	3	4	5	2	4	4	4	4	117578.586	114092.516	115682.59	92913.34	104602.32	56020.02	95407.05	74378.7	104700.85	124961.71	23272.875	22940.344	24842.94	23479.555	21812.84	18498.453	23380.143	21816.83	23814.773	23188.725	
sp|Q13111|CAF1A_HUMAN	Q13111	CAF1A_HUMAN	CHAF1A	956	Homo sapiens	1:Experimental evidence at protein level	Chromatin assembly factor 1 subunit A	0.9994	0.999	2	4	4	4	0	1	0	0	2	0	0	0	1	0	0	1	0	0	2	0	0	0	1	0	0	1	0	0	2	0	0	0	1	0	0.0	12780.593	10629.365	14734.788	25390.902	27293.672	9407.469	15032.885	5819.0522	11120.566	0.0	12920.248	10745.514	9255.685	15252.287	15176.234	9510.266	9009.31	9650.385	11242.082	
sp|Q13123|RED_HUMAN	Q13123	RED_HUMAN	IK	557	Homo sapiens	1:Experimental evidence at protein level	Protein Red	1.0	0.999	8	48	48	48	7	4	3	4	4	6	5	5	4	6	7	4	3	4	4	6	5	5	4	6	7	4	3	4	4	6	5	5	4	6	424497.12	525064.4	512184.1	345538.34	90715.1	686098.44	560555.25	429754.66	512215.44	365217.1	281169.53	290950.3	299568.7	313420.66	314459.0	324511.3	258240.77	293635.16	296926.8	272159.56	
sp|Q13126|MTAP_HUMAN	Q13126	MTAP_HUMAN	MTAP	283	Homo sapiens	1:Experimental evidence at protein level	S-methyl-5'-thioadenosine phosphorylase	1.0	0.999	9	148	148	148	14	12	11	16	13	19	19	15	13	16	14	12	11	16	13	19	19	15	13	16	14	12	11	16	13	19	19	15	13	16	911654.06	903460.56	797733.1	826653.6	825228.44	770992.5	861543.3	778630.3	865815.2	906655.44	191121.83	181740.92	173833.23	176076.98	177203.0	162259.05	181696.14	164118.78	195468.08	202997.69	
sp|Q13131|AAPK1_HUMAN	Q13131	AAPK1_HUMAN	PRKAA1	559	Homo sapiens	1:Experimental evidence at protein level	5'-AMP-activated protein kinase catalytic subunit alpha-1	1.0	0.999	10	79	59	79	7	8	8	7	5	9	9	8	10	8	5	6	6	5	3	7	7	6	8	6	7	8	8	7	5	9	9	8	10	8	223812.75	288547.6	260120.39	301451.7	212556.23	288359.5	309727.3	263534.53	285988.94	268243.88	51478.23	64330.6	59273.617	66209.07	58730.324	57718.676	58277.523	63560.387	63487.324	63532.082	
sp|Q13136|LIPA1_HUMAN	Q13136	LIPA1_HUMAN	PPFIA1	1202	Homo sapiens	1:Experimental evidence at protein level	Liprin-alpha-1	1.0	0.999	11	58	38	58	5	4	5	5	4	8	9	5	5	8	3	3	4	2	3	6	6	3	3	5	5	4	5	5	4	8	9	5	5	8	157705.6	128902.41	141721.38	183349.08	174937.84	155187.23	161909.56	131124.47	145871.78	131662.12	30809.404	31209.348	28590.08	33558.844	32791.453	35074.164	30917.604	31786.83	29123.95	28883.357	
sp|Q13137|CACO2_HUMAN	Q13137	CACO2_HUMAN	CALCOCO2	446	Homo sapiens	1:Experimental evidence at protein level	Calcium-binding and coiled-coil domain-containing protein 2	1.0	0.999	4	9	9	9	0	2	1	0	2	0	1	1	0	2	0	2	1	0	2	0	1	1	0	2	0	2	1	0	2	0	1	1	0	2	0.0	7118.231	31347.785	28077.547	18441.932	0.0	10787.9375	9242.728	9054.498	33217.465	0.0	9667.702	17295.588	9977.885	13232.306	0.0	14651.753	12553.109	12297.464	15595.098	
sp|Q13144|EI2BE_HUMAN	Q13144	EI2BE_HUMAN	EIF2B5	721	Homo sapiens	1:Experimental evidence at protein level	Translation initiation factor eIF2B subunit epsilon	1.0	0.999	7	66	66	66	5	8	6	6	8	7	6	7	7	6	5	8	6	6	8	7	6	7	7	6	5	8	6	6	8	7	6	7	7	6	118497.18	150189.33	227745.44	201796.22	178317.19	116408.516	138376.92	161742.67	212708.03	160157.06	57794.82	78447.1	82566.97	77414.69	78448.01	68577.016	68357.8	68638.8	74828.01	76374.22	
sp|Q13148|TADBP_HUMAN	Q13148	TADBP_HUMAN	TARDBP	414	Homo sapiens	1:Experimental evidence at protein level	TAR DNA-binding protein 43	1.0	0.999	9	143	143	143	16	14	16	13	13	13	11	12	16	19	16	14	16	13	13	13	11	12	16	19	16	14	16	13	13	13	11	12	16	19	410320.84	463496.03	485024.2	416314.44	392380.78	343246.44	329835.72	420957.16	492487.2	670772.75	111019.945	117172.84	119931.91	108464.66	110143.86	99133.48	104233.98	115017.195	133717.39	170060.4	
sp|Q13151|ROA0_HUMAN	Q13151	ROA0_HUMAN	HNRNPA0	305	Homo sapiens	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein A0	1.0	0.999	7	90	90	112	9	8	7	8	10	12	11	7	10	8	9	8	7	8	10	12	11	7	10	8	11	9	10	11	13	15	14	9	11	9	369251.03	298846.8	320927.72	361221.06	312707.1	376648.0	370407.9	333922.88	310462.66	298111.7	101223.32	85659.95	91083.63	105523.17	84994.445	101994.734	104737.555	90420.18	86551.99	82176.77	
sp|Q13153|PAK1_HUMAN	Q13153	PAK1_HUMAN	PAK1	545	Homo sapiens	1:Experimental evidence at protein level	Serine/threonine-protein kinase PAK 1	1.0	0.999	6	6	6	64	0	2	0	0	0	1	1	1	1	0	0	2	0	0	0	1	1	1	1	0	5	8	7	5	5	6	9	7	6	6	38717.3	31633.965	25081.355	33413.37	30038.87	51759.914	27991.803	27179.293	24852.596	36989.277	24869.62	20187.756	15007.346	21955.412	16797.16	31689.719	18220.475	17212.744	27312.6	24352.518	
sp|Q13155|AIMP2_HUMAN	Q13155	AIMP2_HUMAN	AIMP2	320	Homo sapiens	1:Experimental evidence at protein level	Aminoacyl tRNA synthase complex-interacting multifunctional protein 2	1.0	0.999	9	164	164	164	13	17	16	20	17	17	19	15	16	14	13	17	16	20	17	17	19	15	16	14	13	17	16	20	17	17	19	15	16	14	474084.12	568733.06	509077.3	512964.9	455432.56	465061.53	483608.75	517897.94	544538.25	576755.0	179282.98	203861.34	187068.31	191333.83	174811.7	180837.47	185398.36	189778.12	190310.38	195057.02	
sp|Q13158|FADD_HUMAN	Q13158	FADD_HUMAN	FADD	208	Homo sapiens	1:Experimental evidence at protein level	FAS-associated death domain protein	1.0	0.999	4	37	37	37	3	5	3	4	4	3	3	4	4	4	3	5	3	4	4	3	3	4	4	4	3	5	3	4	4	3	3	4	4	4	74145.01	101432.5	85247.37	75394.19	80326.625	75979.01	74583.85	69105.84	85701.42	82984.625	23903.45	33593.37	28925.477	25391.54	27450.725	26303.135	25913.207	23791.688	28126.475	25915.504	
sp|Q13162|PRDX4_HUMAN	Q13162	PRDX4_HUMAN	PRDX4	271	Homo sapiens	1:Experimental evidence at protein level	Peroxiredoxin-4	1.0	0.999	16	299	299	313	30	35	34	25	32	27	28	30	25	33	30	35	34	25	32	27	28	30	25	33	32	36	34	28	32	28	31	31	27	34	2629587.2	2709383.5	2537593.5	2596311.8	2491780.2	2339919.8	2529101.8	2529268.0	2868713.0	2897631.0	649562.7	585118.94	570973.3	573971.75	591958.1	562825.2	609138.7	587200.6	694709.6	679475.6	
sp|Q13164|MK07_HUMAN	Q13164	MK07_HUMAN	MAPK7	816	Homo sapiens	1:Experimental evidence at protein level	Mitogen-activated protein kinase 7	0.9319	0.9975	1	3	3	3	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	6844.4316	0.0	0.0	6174.2124	3426.1558	7457.7983	0.0	0.0	0.0	0.0	6844.4316	0.0	0.0	6174.2124	3426.1558	7457.7983	0.0	0.0	0.0	0.0	
sp|Q13177|PAK2_HUMAN	Q13177	PAK2_HUMAN	PAK2	524	Homo sapiens	1:Experimental evidence at protein level	Serine/threonine-protein kinase PAK 2	1.0	0.999	15	153	85	153	12	15	16	12	16	16	17	16	15	18	6	9	8	6	10	10	8	9	9	10	12	15	16	12	16	16	17	16	15	18	381452.78	335194.38	346794.0	425145.1	413967.66	477882.06	435301.88	417284.3	327923.0	343808.84	76345.086	65435.414	70634.26	81729.695	73392.83	81565.0	81641.88	72795.055	64290.63	68977.164	
sp|Q13185|CBX3_HUMAN	Q13185	CBX3_HUMAN	CBX3	183	Homo sapiens	1:Experimental evidence at protein level	Chromobox protein homolog 3	1.0	0.999	5	103	54	103	7	9	10	10	13	12	12	13	8	9	4	6	5	5	7	4	7	6	5	5	7	9	10	10	13	12	12	13	8	9	554047.2	504370.38	545827.0	600322.0	503406.88	596283.2	520479.75	585255.75	514964.66	535707.3	210187.95	199498.45	213061.55	229776.1	193269.77	225488.95	199965.14	226398.77	200621.53	210952.78	
sp|Q13188|STK3_HUMAN	Q13188	STK3_HUMAN	STK3	491	Homo sapiens	1:Experimental evidence at protein level	Serine/threonine-protein kinase 3	1.0	0.999	7	16	16	39	2	2	1	1	1	1	2	3	2	1	2	2	1	1	1	1	2	3	2	1	6	4	2	4	3	4	5	5	4	2	14642.652	31108.57	15347.234	24786.2	18221.621	16236.451	27278.168	35701.023	25475.133	13745.586	14642.652	18854.111	15347.234	15415.156	18221.621	16236.451	12848.658	14038.394	14145.809	13745.586	
sp|Q13190|STX5_HUMAN	Q13190	STX5_HUMAN	STX5	355	Homo sapiens	1:Experimental evidence at protein level	Syntaxin-5	1.0	0.999	3	30	30	30	4	2	2	5	2	3	5	2	2	3	4	2	2	5	2	3	5	2	2	3	4	2	2	5	2	3	5	2	2	3	136605.1	104361.016	117537.54	115481.234	113915.41	109778.8	119393.734	100644.16	110873.46	110092.34	93291.88	76665.914	82887.62	75066.664	73626.555	74286.12	76983.695	68399.32	87846.445	85467.87	
sp|Q13200|PSMD2_HUMAN	Q13200	PSMD2_HUMAN	PSMD2	908	Homo sapiens	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 2	1.0	0.999	37	693	693	693	62	70	69	70	66	68	72	80	66	70	62	70	69	70	66	68	72	80	66	70	62	70	69	70	66	68	72	80	66	70	3650307.0	3843792.5	3756264.2	3808785.5	3660607.2	3512518.2	3689658.5	4065472.8	4235190.5	4211946.0	345488.28	382710.47	377151.06	371380.72	365754.47	343849.3	368297.25	402397.5	427368.88	431851.72	
sp|Q13206|DDX10_HUMAN	Q13206	DDX10_HUMAN	DDX10	875	Homo sapiens	1:Experimental evidence at protein level	Probable ATP-dependent RNA helicase DDX10	1.0	0.999	3	6	6	6	0	1	1	0	0	0	0	0	2	2	0	1	1	0	0	0	0	0	2	2	0	1	1	0	0	0	0	0	2	2	13100.372	16842.213	17049.898	0.0	12669.536	16609.686	0.0	13822.274	15023.882	17814.004	13100.372	11408.645	11982.583	0.0	12669.536	16609.686	0.0	13822.274	10520.416	12446.995	
sp|Q13207|TBX2_HUMAN	Q13207	TBX2_HUMAN	TBX2	712	Homo sapiens	1:Experimental evidence at protein level	T-box transcription factor TBX2	1.0	0.999	5	14	12	14	3	0	1	1	0	2	2	0	3	2	2	0	1	0	0	2	2	0	3	2	3	0	1	1	0	2	2	0	3	2	52910.027	31089.775	16088.213	34760.6	5601.1143	25334.283	32805.633	0.0	41960.473	29980.781	21625.654	19222.424	18130.7	21273.115	10965.851	21740.379	18872.877	0.0	22035.984	17138.814	
sp|Q13217|DNJC3_HUMAN	Q13217	DNJC3_HUMAN	DNAJC3	504	Homo sapiens	1:Experimental evidence at protein level	DnaJ homolog subfamily C member 3	1.0	0.999	12	111	111	111	11	12	13	8	12	8	10	8	13	16	11	12	13	8	12	8	10	8	13	16	11	12	13	8	12	8	10	8	13	16	309725.75	349524.78	290720.2	243704.62	299045.4	194869.84	259620.33	264236.5	338709.06	350705.34	46587.156	45066.555	48294.895	42051.863	42667.27	39778.484	41817.164	41863.996	49458.832	51131.676	
sp|Q13219|PAPP1_HUMAN	Q13219	PAPP1_HUMAN	PAPPA	1627	Homo sapiens	1:Experimental evidence at protein level	Pappalysin-1	1.0	0.999	6	40	40	40	4	3	4	6	4	5	3	5	2	4	4	3	4	6	4	5	3	5	2	4	4	3	4	6	4	5	3	5	2	4	78840.46	78754.21	90028.97	72253.59	80554.82	88985.484	69400.39	78383.54	94420.48	85100.76	25459.357	23087.303	23385.764	22280.746	23115.68	23327.164	21099.297	22743.78	19435.248	20412.713	
sp|Q13228|SBP1_HUMAN	Q13228	SBP1_HUMAN	SELENBP1	472	Homo sapiens	1:Experimental evidence at protein level	Methanethiol oxidase	1.0	0.999	13	120	120	120	14	10	12	10	15	12	15	12	9	11	14	10	12	10	15	12	15	12	9	11	14	10	12	10	15	12	15	12	9	11	513562.0	333638.66	379855.5	436718.62	461111.4	325514.1	398157.72	511862.38	274153.22	292579.06	89912.62	67431.18	80891.484	80688.81	79857.305	71985.69	77467.984	79057.87	64009.426	56922.0	
sp|Q13232|NDKC_HUMAN	Q13232	NDKC_HUMAN	NME3	169	Homo sapiens	1:Experimental evidence at protein level	Nucleoside diphosphate kinase C	1.0	0.999	3	23	23	23	2	2	2	1	3	2	2	2	5	2	2	2	2	1	3	2	2	2	5	2	2	2	2	1	3	2	2	2	5	2	51297.574	42383.86	43928.344	29001.088	57675.668	33079.81	46421.64	51134.688	56842.402	46521.47	27442.004	27237.621	20932.236	21031.682	29266.928	19801.475	23587.082	23099.994	31347.154	29823.58	
sp|Q13242|SRSF9_HUMAN	Q13242	SRSF9_HUMAN	SRSF9	221	Homo sapiens	1:Experimental evidence at protein level	Serine/arginine-rich splicing factor 9	1.0	0.999	12	79	79	106	7	6	7	7	9	9	10	9	8	7	7	6	7	7	9	9	10	9	8	7	9	9	10	10	12	12	12	12	11	9	240855.06	191260.89	154301.16	133262.56	183573.34	215411.12	177814.89	160639.53	218088.38	144995.75	63273.875	48977.184	47515.875	45774.23	55180.51	64338.312	59559.98	54234.27	51989.81	43244.777	
sp|Q13243|SRSF5_HUMAN	Q13243	SRSF5_HUMAN	SRSF5	272	Homo sapiens	1:Experimental evidence at protein level	Serine/arginine-rich splicing factor 5	1.0	0.999	3	27	27	27	3	3	2	3	3	2	3	2	3	3	3	3	2	3	3	2	3	2	3	3	3	3	2	3	3	2	3	2	3	3	87344.45	93063.23	83665.76	88591.58	98336.02	97500.91	95335.555	79475.24	77110.484	97471.59	36971.17	37695.293	35901.312	42302.996	43429.996	45167.105	47023.426	39203.605	34368.406	37237.285	
sp|Q13247|SRSF6_HUMAN	Q13247	SRSF6_HUMAN	SRSF6	344	Homo sapiens	1:Experimental evidence at protein level	Serine/arginine-rich splicing factor 6	1.0	0.999	5	18	18	40	3	1	1	2	2	2	3	1	2	1	3	1	1	2	2	2	3	1	2	1	5	3	3	3	4	4	5	4	5	4	47016.8	10152.036	31326.338	29964.477	28276.146	50384.594	40822.375	4280.4766	29913.973	2211.126	29992.176	10152.036	31326.338	29964.477	28276.146	30111.342	26405.275	4280.4766	29913.973	2211.126	
sp|Q13263|TIF1B_HUMAN	Q13263	TIF1B_HUMAN	TRIM28	835	Homo sapiens	1:Experimental evidence at protein level	Transcription intermediary factor 1-beta	1.0	0.999	19	341	341	341	35	37	32	33	28	38	38	31	34	35	35	37	32	33	28	38	38	31	34	35	35	37	32	33	28	38	38	31	34	35	791524.25	736658.7	700993.94	781510.3	809839.5	922215.1	896276.6	899339.25	693029.4	643312.6	148444.69	126151.336	134257.73	127869.914	132804.47	146976.5	147131.4	132449.11	119575.08	120061.516	
sp|Q13283|G3BP1_HUMAN	Q13283	G3BP1_HUMAN	G3BP1	466	Homo sapiens	1:Experimental evidence at protein level	Ras GTPase-activating protein-binding protein 1	1.0	0.999	14	224	204	224	27	20	20	22	23	26	23	23	19	21	25	18	18	20	20	24	21	21	17	20	27	20	20	22	23	26	23	23	19	21	1622317.4	1401330.4	1407067.6	1366912.6	1727919.6	1639614.6	1568639.8	1436368.8	1476677.8	1379223.2	391635.84	360612.22	339912.28	332994.78	385649.16	394850.12	392776.03	356554.2	361151.47	358441.5	
sp|Q13286|CLN3_HUMAN	Q13286	CLN3_HUMAN	CLN3	438	Homo sapiens	1:Experimental evidence at protein level	Battenin	0.9716	0.999	1	14	14	14	1	1	2	2	2	1	2	1	1	1	1	1	2	2	2	1	2	1	1	1	1	1	2	2	2	1	2	1	1	1	17442.63	22324.19	23710.768	19545.535	20221.715	17562.71	14573.581	17288.514	13630.517	11819.612	17442.63	22324.19	23710.768	19545.535	20221.715	17562.71	14573.581	17288.514	13630.517	11819.612	
sp|Q13287|NMI_HUMAN	Q13287	NMI_HUMAN	NMI	307	Homo sapiens	1:Experimental evidence at protein level	N-myc-interactor	1.0	0.999	8	47	47	47	5	6	6	5	5	3	4	2	6	5	5	6	6	5	5	3	4	2	6	5	5	6	6	5	5	3	4	2	6	5	77171.28	88108.68	84592.61	77585.57	77114.945	85987.9	69246.57	77396.05	103115.03	84622.56	25075.336	25182.504	27055.324	25407.49	25638.4	24768.16	23805.514	25470.986	29717.375	23427.902	
sp|Q13303|KCAB2_HUMAN	Q13303	KCAB2_HUMAN	KCNAB2	367	Homo sapiens	1:Experimental evidence at protein level	Voltage-gated potassium channel subunit beta-2	1.0	0.999	2	3	3	3	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0.0	3431.0205	17251.324	0.0	0.0	0.0	2964.6604	0.0	0.0	4461.14	0.0	3431.0205	0.0	0.0	0.0	0.0	2964.6604	0.0	0.0	4461.14	
sp|Q13308|PTK7_HUMAN	Q13308	PTK7_HUMAN	PTK7	1070	Homo sapiens	1:Experimental evidence at protein level	Inactive tyrosine-protein kinase 7	1.0	0.999	12	81	81	81	10	9	5	8	10	6	7	7	9	10	10	9	5	8	10	6	7	7	9	10	10	9	5	8	10	6	7	7	9	10	304660.0	424595.4	466288.06	228960.48	377699.75	403823.75	464970.72	533815.5	482581.06	247004.88	158422.5	167089.33	163479.89	164134.1	169984.31	138597.92	165980.42	168542.39	164946.67	158281.4	
sp|Q13310|PABP4_HUMAN	Q13310	PABP4_HUMAN	PABPC4	644	Homo sapiens	1:Experimental evidence at protein level	Polyadenylate-binding protein 4	1.0	0.999	22	140	132	245	14	14	13	13	17	13	13	14	15	14	13	14	12	12	16	12	12	14	14	13	21	26	22	25	32	21	21	24	27	26	661697.8	664689.4	569609.06	410501.06	554625.5	422966.34	383958.97	458496.2	539920.25	540090.9	106477.875	112003.08	105958.39	93213.15	106905.15	91482.47	82796.15	100519.92	115310.61	108244.14	
sp|Q13315|ATM_HUMAN	Q13315	ATM_HUMAN	ATM	3056	Homo sapiens	1:Experimental evidence at protein level	Serine-protein kinase ATM	1.0	0.999	7	25	25	25	3	1	4	3	4	1	2	1	2	4	3	1	4	3	4	1	2	1	2	4	3	1	4	3	4	1	2	1	2	4	53248.516	51904.566	51090.996	81450.016	48059.53	34074.0	73227.29	36599.46	33631.797	37980.098	17429.254	14540.718	19329.914	20743.814	19286.201	14923.58	15496.416	16193.086	12512.556	10703.23	
sp|Q13322|GRB10_HUMAN	Q13322	GRB10_HUMAN	GRB10	594	Homo sapiens	1:Experimental evidence at protein level	Growth factor receptor-bound protein 10	1.0	0.999	2	2	2	2	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0.0	9157.778	14997.971	9437.926	10113.207	8774.049	0.0	0.0	0.0	0.0	0.0	9042.64	8058.908	11125.435	9986.056	8663.734	0.0	0.0	0.0	0.0	
sp|Q13325|IFIT5_HUMAN	Q13325	IFIT5_HUMAN	IFIT5	482	Homo sapiens	1:Experimental evidence at protein level	Interferon-induced protein with tetratricopeptide repeats 5	1.0	0.999	7	29	29	29	3	3	4	3	3	2	4	2	1	4	3	3	4	3	3	2	4	2	1	4	3	3	4	3	3	2	4	2	1	4	113446.53	103238.77	94919.4	132688.56	150678.44	93188.46	83781.14	109188.68	83247.1	147869.5	42193.832	44420.547	39664.434	39942.24	48912.92	36224.53	37254.11	36914.08	44491.508	43200.79	
sp|Q13330|MTA1_HUMAN	Q13330	MTA1_HUMAN	MTA1	715	Homo sapiens	1:Experimental evidence at protein level	Metastasis-associated protein MTA1	1.0	0.999	3	22	22	22	1	2	3	2	4	2	2	2	2	2	1	2	3	2	4	2	2	2	2	2	1	2	3	2	4	2	2	2	2	2	39923.25	178519.25	146362.62	121473.766	165763.31	115932.48	103383.086	158804.44	150902.25	160653.73	161079.5	106940.664	97381.234	102412.64	87311.97	98891.32	91154.086	117844.805	98250.914	80752.64	
sp|Q13332|PTPRS_HUMAN	Q13332	PTPRS_HUMAN	PTPRS	1948	Homo sapiens	1:Experimental evidence at protein level	Receptor-type tyrosine-protein phosphatase S	1.0	0.999	11	62	51	62	8	5	7	6	7	7	4	5	7	6	5	4	7	5	4	7	4	5	5	5	8	5	7	6	7	7	4	5	7	6	120906.21	150763.88	149814.36	153168.3	111925.695	161887.73	130985.76	128575.72	111353.3	110736.18	32573.283	36950.004	35835.727	36719.05	34680.086	34574.56	30715.076	30899.51	28085.2	30857.12	
sp|Q13347|EIF3I_HUMAN	Q13347	EIF3I_HUMAN	EIF3I	325	Homo sapiens	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit I	1.0	0.999	10	110	110	110	11	13	15	6	11	8	11	10	12	13	11	13	15	6	11	8	11	10	12	13	11	13	15	6	11	8	11	10	12	13	527447.8	562989.44	521321.12	447352.97	535923.9	586937.06	607417.1	583537.0	600370.94	620099.3	218164.06	245720.22	229976.05	188336.97	205163.0	262204.44	254900.5	251648.3	242619.53	243479.2	
sp|Q13356|PPIL2_HUMAN	Q13356	PPIL2_HUMAN	PPIL2	520	Homo sapiens	1:Experimental evidence at protein level	RING-type E3 ubiquitin-protein ligase PPIL2	0.9999	0.999	3	17	17	17	2	2	2	1	3	2	0	1	2	2	2	2	2	1	3	2	0	1	2	2	2	2	2	1	3	2	0	1	2	2	31788.666	34383.797	30366.105	37877.547	34577.984	28761.68	25132.172	17825.234	21975.771	33788.484	20273.748	21841.375	19386.127	24190.959	19263.438	18369.807	15970.358	17825.234	21975.771	21225.342	
sp|Q13362|2A5G_HUMAN	Q13362	2A5G_HUMAN	PPP2R5C	524	Homo sapiens	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform	1.0	0.999	8	53	52	85	5	4	5	7	6	6	4	5	6	5	5	4	5	7	5	6	4	5	6	5	9	6	7	11	11	9	7	9	9	7	136963.73	142056.92	147845.16	125275.76	165907.89	118951.45	109167.46	114897.34	139660.34	124186.164	52720.504	59848.938	56595.53	49570.242	62791.105	45562.156	41885.098	46035.47	56736.312	53528.26	
sp|Q13363|CTBP1_HUMAN	Q13363	CTBP1_HUMAN	CTBP1	440	Homo sapiens	1:Experimental evidence at protein level	C-terminal-binding protein 1	1.0	0.999	10	112	80	112	12	11	10	8	9	11	15	12	12	12	8	8	8	6	6	9	11	8	9	7	12	11	10	8	9	11	15	12	12	12	432637.62	472833.66	389391.03	316709.2	354359.97	400165.44	448478.5	402635.7	461275.97	414484.66	106938.12	104004.09	104107.984	90255.86	75245.15	99898.15	109332.56	89071.63	104041.16	95380.23	
sp|Q13393|PLD1_HUMAN	Q13393	PLD1_HUMAN	PLD1	1074	Homo sapiens	1:Experimental evidence at protein level	Phospholipase D1	0.8389	0.9935	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	12092.198	0.0	0.0	9232.278	7210.9785	0.0	0.0	0.0	0.0	11276.121	12092.198	0.0	0.0	9232.278	7210.9785	0.0	0.0	0.0	0.0	11276.121	
sp|Q13404|UB2V1_HUMAN	Q13404	UB2V1_HUMAN	UBE2V1	147	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-conjugating enzyme E2 variant 1	1.0	0.999	4	86	31	86	9	8	6	10	8	11	10	7	9	8	3	3	1	3	3	5	3	3	5	2	9	8	6	10	8	11	10	7	9	8	405950.47	299314.38	252354.42	329844.4	259232.72	402158.97	370538.3	330697.44	311237.8	283708.53	239340.61	142405.31	147355.81	194667.77	149519.22	234408.67	204937.78	186255.77	146461.78	145368.73	
